City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
134,Cuicatlan,MX,17.8,-96.9667,85.26,36,7,1.16,clear sky
135,Helena,US,46.5927,-112.0361,24.01,78,90,1.72,light snow
136,Port Alfred,ZA,-33.5906,26.891,77,86,13,3,few clouds
137,Khuzhir,RU,53.1939,107.3397,9.36,89,97,5.17,overcast clouds
138,Grindavik,IS,63.8424,-22.4338,37.4,65,75,20.71,broken clouds
139,Enid,US,36.3956,-97.8784,43,61,75,10.36,broken clouds
140,Blama,SL,7.8736,-11.3433,99.3,24,85,3.11,overcast clouds
141,Katsuura,JP,35.1333,140.3,50,57,0,10.36,clear sky
142,Chokurdakh,RU,70.6333,147.9167,-16.37,87,99,3.94,overcast clouds
143,Belmonte,BR,-15.8631,-38.8828,86,70,75,11.5,broken clouds
144,Archidona,ES,37.0965,-4.3887,62.01,74,64,3,broken clouds
145,Mount Isa,AU,-20.7333,139.5,75.2,100,75,17.27,heavy intensity rain
146,Karratha,AU,-20.7377,116.8463,78.82,76,5,10.65,clear sky
147,Cooma,AU,-36.2333,149.1333,55.4,76,0,6.91,clear sky
148,Tukrah,LY,32.5341,20.5791,65.71,53,49,7.83,scattered clouds
149,Kinlochleven,GB,56.7115,-4.9661,39.99,74,90,5.99,overcast clouds
150,Butaritari,KI,3.0707,172.7902,80.89,81,88,21.79,light rain
151,Samagaltay,RU,50.6022,95.0047,0,88,14,2.1,few clouds
152,Erattupetta,IN,9.7,76.7833,80.6,78,20,2.3,haze
153,Upanema,BR,-5.6419,-37.2578,96.8,36,75,16.11,broken clouds
154,Warrnambool,AU,-38.3833,142.4833,57.99,94,97,14.99,overcast clouds
155,Carutapera,BR,-1.195,-46.02,89.11,56,62,10.54,broken clouds
156,Neftcala,AZ,39.3742,49.2472,47.23,85,50,13.04,scattered clouds
157,Miramar,US,25.9873,-80.2323,82,57,40,14.97,scattered clouds
158,General Pico,AR,-35.6566,-63.7568,94.08,14,0,11.3,clear sky
159,Biak,ID,-0.9131,122.8766,77.09,80,100,2.98,overcast clouds
160,Faya,SA,18.3851,42.4509,55.4,71,40,11.5,scattered clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,62.6,67,1,3.44,clear sky
162,Quzhou,CN,28.9594,118.8686,53.08,83,0,0.25,clear sky
163,Atar,MR,20.5169,-13.0499,75.96,19,33,19.01,scattered clouds
164,Te Anau,NZ,-45.4167,167.7167,52.79,85,24,0.94,few clouds
165,Cherskiy,RU,68.75,161.3,-10.16,81,0,7.76,clear sky
166,Carnarvon,AU,-24.8667,113.6333,80.6,100,75,12.66,broken clouds
167,Igarka,RU,67.4667,86.5833,-15.74,88,99,11.1,overcast clouds
168,Titlagarh,IN,20.3,83.15,66.4,29,0,2.64,clear sky
169,Monrovia,LR,6.3005,-10.7969,82.4,69,75,5.75,broken clouds
170,Ariquemes,BR,-9.9133,-63.0408,77.04,92,100,1.95,overcast clouds
171,Mar Del Plata,AR,-38.0023,-57.5575,72,68,75,13.8,broken clouds
172,Salalah,OM,17.0151,54.0924,75.2,64,40,9.22,scattered clouds
173,Dingle,PH,10.9995,122.6711,75.36,91,65,9.55,light rain
174,Goba,ET,7.0167,39.9833,54.39,57,57,2.71,broken clouds
175,Jamestown,US,42.097,-79.2353,18,62,40,19.57,scattered clouds
176,Bolekhiv,UA,49.0661,23.8643,28.4,80,90,2.24,light snow
177,Nhulunbuy,AU,-12.2333,136.7667,80.6,83,75,11.5,broken clouds
178,Worland,US,44.0169,-107.9554,10.99,85,90,5.75,overcast clouds
179,Ponta Do Sol,PT,32.6667,-17.1,62.6,51,40,11.5,scattered clouds
180,Morro Bay,US,35.3658,-120.8499,54,61,1,8.79,clear sky
181,Yellowknife,CA,62.456,-114.3525,-42,66,1,2.3,fog
182,Georgetown,MY,5.4112,100.3354,86,70,20,3.44,few clouds
183,Vao,NC,-22.6667,167.4833,77.31,87,1,8.12,clear sky
184,Hamilton,US,39.1834,-84.5333,26.01,54,20,3.44,few clouds
185,Cidreira,BR,-30.1811,-50.2056,74.39,63,63,11.3,broken clouds
186,Berbera,SO,10.4396,45.0143,75.9,72,25,6.85,scattered clouds
187,Matara,LK,5.9485,80.5353,77.16,86,100,6.17,moderate rain
188,Dukat,RU,62.55,155.55,-15.95,88,97,2.8,overcast clouds
189,Port Elizabeth,ZA,-33.918,25.5701,82.4,65,20,5.75,few clouds
190,Kamina,CD,-8.7386,24.9906,72.43,90,96,5.3,light rain
191,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,73,75,4.61,broken clouds
192,Munirabad,IN,15.3333,76.3333,75.67,31,68,6.31,broken clouds
193,Liberal,US,37.0431,-100.921,28.4,74,1,20.71,clear sky
194,Rabo De Peixe,PT,37.8,-25.5833,60.8,82,40,19.57,scattered clouds
195,Torbay,CA,47.6666,-52.7314,37.99,80,90,9.22,overcast clouds
196,Ust-Maya,RU,60.4167,134.5333,-26.37,85,100,1.5,overcast clouds
197,Manasa,IN,24.4837,75.2687,60.94,32,0,9.15,clear sky
198,Uyuni,BO,-20.4597,-66.825,61.36,47,60,11.63,broken clouds
199,San Miguel,SV,13.4833,-88.1833,80.6,73,0,4.61,clear sky
200,Iqaluit,CA,63.7506,-68.5145,21.2,86,75,14.97,broken clouds
201,Mildura,AU,-34.2,142.15,66.2,63,90,10.36,overcast clouds
202,Nikolskoye,RU,59.7035,30.7861,12.99,79,90,13.42,light snow
203,Kalakamati,BW,-20.5929,27.3121,78.8,69,40,8.05,light rain
204,Birao,CF,10.2849,22.7882,82.8,15,69,8.48,broken clouds
205,Goderich,CA,43.7501,-81.7165,15.8,67,100,26.46,overcast clouds
206,Vilyuysk,RU,63.7553,121.6247,-36.11,82,2,3.44,clear sky
207,Lokosovo,RU,61.1333,74.8167,35.01,99,100,8.93,overcast clouds
208,Tuatapere,NZ,-46.1333,167.6833,51.49,86,1,3.22,clear sky
209,Robinson,US,31.4677,-97.1147,46.99,87,90,9.22,overcast clouds
210,Almeirim,BR,-1.5233,-52.5817,92.48,47,68,6.26,broken clouds
211,Caravelas,BR,-17.7125,-39.2481,82.89,81,92,9.93,light rain
212,Guerrero Negro,MX,27.9769,-114.0611,56.44,88,0,6.85,clear sky
213,Tshikapa,CD,-6.4167,20.8,78.55,80,88,2.35,overcast clouds
214,Ormara,PK,25.2088,64.6357,69.1,45,0,3,clear sky
215,Bengkulu,ID,-3.8004,102.2655,76.86,85,78,6.55,broken clouds
216,Mana,GF,5.6592,-53.7767,80.22,83,73,13.13,broken clouds
217,Kailua,US,21.4022,-157.7394,62.6,88,75,3.71,broken clouds
218,San Andres,CO,12.5847,-81.7006,84.2,79,40,12.66,scattered clouds
219,Shu,KZ,43.5983,73.7614,40.01,69,100,9.24,overcast clouds
220,Gimli,CA,50.6336,-96.9907,-22,69,100,13.8,overcast clouds
221,Clyde River,CA,70.4692,-68.5914,-14.8,76,40,3.44,scattered clouds
222,Muncar,ID,-8.4333,114.3333,77.09,86,100,3.04,overcast clouds
223,Thompson,CA,55.7435,-97.8558,-34.6,67,75,12.66,snow
224,Bethel,US,41.3712,-73.414,37.99,44,1,8.05,clear sky
225,Inhambane,MZ,-23.865,35.3833,89.01,66,40,6.91,scattered clouds
226,Praya,CV,14.9215,-23.5087,75.2,53,75,27.63,broken clouds
227,Half Moon Bay,US,37.4636,-122.4286,48,93,90,3.91,mist
228,Jaru,BR,-10.4389,-62.4664,77.16,92,99,2.15,moderate rain
229,Novikovo,RU,51.1537,37.8879,12.79,92,100,13.76,overcast clouds
230,Darhan,MN,49.4867,105.9228,-1.26,86,0,4.83,clear sky
231,Luwuk,ID,-0.9516,122.7875,77.77,74,100,3.02,overcast clouds
232,Rusanesti,RO,43.9333,24.6,42.8,100,90,9.22,fog
233,Sao Filipe,CV,14.8961,-24.4956,71.04,72,3,15.82,clear sky
234,Helong,CN,42.5397,128.9972,13.53,92,95,3.13,overcast clouds
235,Kyren,RU,51.6828,102.1408,4.86,78,45,2.55,scattered clouds
236,Mount Gambier,AU,-37.8333,140.7667,55.4,100,90,10.36,overcast clouds
237,Dubuque,US,42.4833,-90.8668,3.2,71,75,8.05,broken clouds
238,Padang,ID,-0.9492,100.3543,77,83,20,1.14,few clouds
239,Shache,CN,38.4167,77.2406,34.9,71,14,5.41,few clouds
240,Chingirlau,KZ,51.095,54.0814,8.85,94,100,16.26,overcast clouds
241,Cayenne,GF,4.9333,-52.3333,78.8,94,75,4.61,mist
242,Sept-Iles,CA,50.2001,-66.3821,30.99,93,100,3.44,light snow
243,Aykhal,RU,66,111.5,-34.06,81,2,5.17,clear sky
244,Fortuna,US,40.5982,-124.1573,45,100,90,3.04,overcast clouds
245,Bay Roberts,CA,47.5999,-53.2648,36,80,90,9.22,overcast clouds
246,Sorong,ID,-0.8833,131.25,81.03,79,100,1.43,overcast clouds
247,Svetlyy,RU,54.675,20.1347,15.8,86,75,6.71,light snow
248,Ostrow Wielkopolski,PL,51.655,17.8069,33.01,56,98,14.45,overcast clouds
249,Boden,SE,65.8252,21.6886,14,85,0,9.22,clear sky
250,San Patricio,US,28.017,-97.5169,60.8,88,90,8.05,mist
251,Tessalit,ML,20.1986,1.0114,90.03,11,99,16.42,overcast clouds
