City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
88,Kieta,PG,80.26,overcast clouds,-6.2167,155.6333,
90,Atuona,PF,80.29,scattered clouds,-9.8,-139.0333,Villa Enata
92,Ararat,AM,42.8,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
93,Kruisfontein,ZA,78.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
94,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
95,Boyolangu,ID,75.7,overcast clouds,-8.1181,111.8935,Yos ega cv
96,Comodoro Rivadavia,AR,60.8,broken clouds,-45.8667,-67.5,Austral Hotel
98,Praia Da Vitoria,PT,64.4,scattered clouds,38.7333,-27.0667,Hotel Branco I
100,Esperance,AU,60.8,broken clouds,-33.8667,121.9,Hospitality Esperance
102,Kang,BW,72.68,moderate rain,-23.6752,22.7876,Kang Ultra Stop
103,Katherine,AU,77.0,scattered clouds,-14.4667,132.2667,Pine Tree Motel
104,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
107,Hermanus,ZA,73.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
108,Manzanillo,CU,85.06,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
109,Dunedin,NZ,57.99,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
110,Mashhad,IR,50.0,clear sky,36.297,59.6062,Khanye Sabz Hotel
111,Lazaro Cardenas,MX,80.62,scattered clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
112,Bima,ID,76.82,broken clouds,-8.4667,118.7167,Lambitu Hotel
114,Rio Grande,BR,77.0,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
115,Bajil,YE,75.47,clear sky,15.0584,43.2851,شبكة ماكس نت MAX WIFI
119,Kapoeta,SS,89.15,few clouds,4.7717,33.5903,Eastgate Hotel
124,Sao Joao Da Barra,BR,80.6,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
125,Vredendal,ZA,78.64,clear sky,-31.6683,18.5012,Tharrakamma Guest House
